Log_ID,Location,Sex,Crown_1,Crown_2,Avg_Crown,Stick_Height,J_Height,J_Observer,J_Height.2,J_Observer.2,Moisture_VWC,Circ_1,Circ_2,Circ_3,Circ_4,Circ_5,Circ_6,Circ_7,Circ_8,Circ_9,Avg_circ,Sampling_Date,Observers
H1-M4,Huntsville,M,2.2,1.5,1.85,,3.482,F,,,9.7,6.5,,,,,,,,,6.5,7/18/2023,"A,B"
H1-M5,Huntsville,M,2.6,1.5,2.05,,4.037,F,,,13.1,10,,,,,,,,,10,7/18/2023,"A,B"
H1-M6,Huntsville,M,1.5,1.3,1.4,,2.474,F,,,12.1,5,,,,,,,,,5,7/18/2023,"A,B"
H1-M7,Huntsville,M,6.3,4.6,5.45,,5.859,F,,,26.2,22,20,26,,,,,,,22.67,7/18/2023,"A,B"
H1-M8,Huntsville,M,,,,,,,,,,,,,,,,,,,,7/18/2023,"A,B"
H1-M9,Huntsville,M,4.4,4,4.2,,6.174,F,5.333,A,18.7,25,6.5,9,5.5,3,,,,,9.8,7/18/2023,"A,B"
H2-F1,Huntsville,F,3.5,3.7,3.6,,4.313,G,,,1.7,19,16,,,,,,,,17.5,7/20/2023,"B,C"
H2-F2,Huntsville,F,4.1,3.9,4,,3.573,G,,,2.1,18,,,,,,,,,18,7/20/2023,"D,B"
H2-F3,Huntsville,F,1.2,2.1,1.65,,2.001,G,,,2.7,5,,,,,,,,,5,7/20/2023,"B,C"
H2-M1,Huntsville,M,3.3,2.4,2.85,,3.99,G,,,0,6,13,6,13,,,,,,9.5,7/20/2023,"B,C"
H2-M2,Huntsville,M,2.1,2.1,2.1,,3.159,G,,,0,11,,,,,,,,,11,7/20/2023,"B,C"
H2-M3,Huntsville,M,4.9,2.4,3.65,,2.998,G,,,2.7,9,3,11,5,,,,,,7,7/20/2023,"B,C"
H2-M4,Huntsville,M,1.6,2,1.8,,3.85,G,4.12,A,2.5,11,,,,,,,,,11,7/20/2023,"B,C"
H2-M5,Huntsville,M,4,2.2,3.1,,3.295,G,3.08,A,3.6,9,15,16,9,,,,,,12.25,7/20/2023,"B,C"
H2-M6,Huntsville,M,4,4.8,4.4,,4.696,G,,,3.7,6,5,6,6,14,21,14,,,10.29,7/20/2023,"B,C"
H2-M7,Huntsville,M,4.4,4.3,4.35,,4.698,G,,,6.3,12,23,21,19,,,,,,18.75,7/20/2023,"B,C"
H2-M8,Huntsville,M,4.7,3.4,4.05,,5.752,G,,,3.2,28,,,,,,,,,28,7/20/2023,"B,C"
H2-M9,Huntsville,M,2.3,2,2.15,,2.794,G,,,3.4,11,,,,,,,,,11,7/20/2023,"B,C"
H3-F1,Huntsville,F,2.1,2.2,2.15,,3.558,G,,,2.5,10,,,,,,,,,10,7/20/2023,"B,C"
H3-F10,Huntsville,F,4,4.6,4.3,,4.552,F,,,5,9,15,9,9,,,,,,10.5,7/20/2023,"B,C"
H3-F2,Huntsville,F,1.6,7.8,4.7,,2.25,G,,,2,5,,,,,,,,,5,7/20/2023,"B,C"
H3-F3,Huntsville,F,6.1,3.8,4.95,,7.372,G,,,2.1,13,27,,,,,,,,20,7/20/2023,"B,C"
H3-F4,Huntsville,F,1.4,1.8,1.6,,2.39,G,,,2.7,5,,,,,,,,,5,7/20/2023,"B,C"
H3-F5,Huntsville,F,4.8,2.1,3.45,,3.315,G,,,0,7,7,14,,,,,,,9.33,7/20/2023,"B,C"
H3-F6,Huntsville,F,1.6,1.4,1.5,,3.543,G,3.9,A,1.6,8,,,,,,,,,8,7/20/2023,"B,C"
H3-F7,Huntsville,F,2.5,2.3,2.4,,2.974,G,2.885,A,2.2,8,6,,,,,,,,7,7/20/2023,"B,C"
H3-F8,Huntsville,F,1.9,1.7,1.8,,3.145,F,,,3.2,6,,,,,,,,,6,7/20/2023,"B,C"
H3-F9,Huntsville,F,4.4,4,4.2,,5.309,F,,,6.4,16,14,,,,,,,,15,7/20/2023,"B,C"
TC1-F1,Turkey_Creek,F,8.6,5.2,6.9,7.9,7.06,A,4.68,G,4,20,35,17,23,30,11,30,27,25,24.22,6/15/2023,"E,B"
TC1-M1,Turkey_Creek,M,3.5,3.2,3.35,,3.4,G,,,3.3,15,,,,,,,,,15,6/15/2023,"D,B"
TC1-M2,Turkey_Creek,M,2.8,1.3,2.05,,3.06,G,,,3.6,13,,,,,,,,,13,6/15/2023,"D,B"
TC1-M3,Turkey_Creek,M,2.4,1.1,1.75,,2.42,G,,,2.1,9,,,,,,,,,9,6/15/2023,"D,B"
TC1-M4,Turkey_Creek,M,5.8,5.5,5.65,11.9,7.13,G,7.91,A,3.3,23,18,,,,,,,,20.5,6/15/2023,"D,B"
TC1-M5,Turkey_Creek,M,5.35,3.47,4.41,,2.56,G,,,3.4,13,,,,,,,,,13,6/15/2023,"D,B"
TC1-M6,Turkey_Creek,M,4.3,4.1,4.2,,3.22,G,,,3.1,10,15,,,,,,,,12.5,6/15/2023,"D,B"
TC1-M8,Turkey_Creek,M,2.8,1.5,2.15,,2.57,G,2.47,A,5.3,10,,,,,,,,,10,6/15/2023,"D,B"
TC1-M9,Turkey_Creek,M,3.4,2.7,3.05,,5.36,G,,,3.1,9,12,,,,,,,,10.5,6/15/2023,"D,B"
TC2-F1,Turkey_Creek,F,3,2.2,2.6,,5.08,G,,,4.4,17,10,,,,,,,,13.5,6/15/2023,"D,B"
TC2-F3,Turkey_Creek,F,3.4,2.8,3.1,,4.09,G,,,4.8,15,19,,,,,,,,17,6/15/2023,"D,B"
TC2-F4,Turkey_Creek,F,1.8,2.2,2,,4.34,G,,,2.3,11,,,,,,,,,11,6/15/2023,"D,B"
TC2-F5,Turkey_Creek,F,4.6,3.5,4.05,,3.08,A,,,3.1,15,9,8,9,,,,,,10.25,6/15/2023,"D,B"
TC2-F7,Turkey_Creek,F,3.9,3.1,3.5,,2.22,A,,,3.7,11,9,11,,,,,,,10.33,6/15/2023,"D,B"
TC2-M10,Turkey_Creek,M,3.6,1.6,2.6,,3.5,G,3.76,A,4.2,13,,,,,,,,,13,6/15/2023,"D,B"
TC2-M9,Turkey_Creek,M,3.2,0.9,2.05,,2.94,G,,,4.7,12,,,,,,,,,12,6/15/2023,"D,B"
Wi1-F1,Wildflower,F,1.8,1.2,1.5,,2.34,G,2.657,F,4.3,7,,,,,,,,,7,6/22/2023,"E,B"
Wi1-F10,Wildflower,F,3.5,2.2,2.85,,1.38,A,,,13.3,5.8,6.1,5.2,,,,,,,5.7,6/22/2023,"E,B"
Wi1-F11,Wildflower,F,1.6,1.2,1.4,,4.483,F,,,10.3,8,,,,,,,,,8,6/22/2023,"E,B"
Wi1-F2,Wildflower,F,2.4,2,2.2,,3.953,F,3,G,3.8,8,4.1,7.1,,,,,,,6.4,6/22/2023,"E,B"
Wi1-F3,Wildflower,F,1.6,1.7,1.65,,3.14,A,,,4.4,10.2,,,,,,,,,10.2,6/22/2023,"E,B"
Wi1-F4,Wildflower,F,1.7,1.5,1.6,,1.459,F,,,5.6,6,5.5,,,,,,,,5.75,6/22/2023,"E,B"
Wi1-F5,Wildflower,F,0.8,0.6,0.7,,1.38,A,,,8.7,2,,,,,,,,,2,6/22/2023,"E,B"
Wi1-F6,Wildflower,F,1.9,2.2,2.05,,2.783,F,,,5.5,8.9,3.9,5.9,,,,,,,6.23,6/22/2023,"E,B"
Wi1-F7,Wildflower,F,2.1,3.3,2.7,,3.273,F,,,7.9,7.9,8.9,,,,,,,,8.4,6/22/2023,"E,B"
Wi1-F8,Wildflower,F,1.4,1.6,1.5,,4.256,F,,,6,9,9.9,,,,,,,,9.45,6/22/2023,"E,B"
Wi1-F9,Wildflower,F,2.8,2.8,2.8,,3.52,F,,,8,6.9,3.7,3.9,,,,,,,4.83,6/22/2023,"E,B"
Wi1-M1,Wildflower,M,2.3,2.5,2.4,,2.53,G,,,4.2,8.1,7.3,,,,,,,,7.7,6/22/2023,"E,B"
Wi1-M2,Wildflower,M,1.4,2.5,1.95,,2.54,G,,,3.7,4.2,5.9,,,,,,,,5.05,6/22/2023,"E,B"
Wi1-M3,Wildflower,M,3,2.7,2.85,,3.9,G,,,4.1,10,10,,,,,,,,10,6/22/2023,"E,B"
Wi1-M4,Wildflower,M,2.2,2.5,2.35,,3.35,G,3.504,F,3.9,7.3,,,,,,,,,7.3,6/22/2023,"E,B"
Wi1-M5,Wildflower,M,2,1.4,1.7,,3.57,G,,,7.3,9.5,,,,,,,,,9.5,6/22/2023,"E,B"
Wi1-M6,Wildflower,M,3.3,2.9,3.1,,3.08,G,,,6.9,8,12.5,4.2,,,,,,,8.23,6/22/2023,"E,B"
Wi1-M7,Wildflower,M,2.6,2.6,2.6,,3.35,G,,,14.2,13,9.8,,,,,,,,11.4,6/22/2023,"E,B"
Wi1-M8,Wildflower,M,2.8,2.9,2.85,,4.36,G,,,6.7,10.2,,,,,,,,,10.2,6/22/2023,"E,B"
Wi2-F1,Wildflower,F,2.3,1.5,1.9,,2.988,F,2.69,A,11.9,8,,,,,,,,,8,6/23/2023,"E,B"
Wi2-F2,Wildflower,F,2.5,2.9,2.7,,3.13,A,,,7.3,5,8.9,,,,,,,,6.95,6/22/2023,"E,B"
Wi2-F3,Wildflower,F,2.2,3.2,2.7,,2.94,A,,,12.3,8.8,,,,,,,,,8.8,6/23/2023,"E,B"
Wi2-F4,Wildflower,F,2.8,3.4,3.1,,4.24,A,,,11.5,8.2,,,,,,,,,8.2,6/23/2023,"E,B"
Wi2-F5,Wildflower,F,1.5,1.2,1.35,,2.775,F,,,13.4,5.6,,,,,,,,,5.6,6/23/2023,"E,B"
Wi2-F6,Wildflower,F,1.3,1.4,1.3,,2.86,F,2.76,A,13.1,5,4.6,,,,,,,,4.8,6/23/2023,"E,B"
Wi2-F7,Wildflower,F,3.4,3.1,3.25,,3.168,F,,,13.9,8.2,4,,,,,,,,6.1,6/23/2023,"E,B"
Wi2-F8,Wildflower,F,3.4,2.7,3.05,,4.08,F,,,13.8,10.8,11,,,,,,,,10.9,6/23/2023,"E,B"
Wi2-F9,Wildflower,F,4,3.5,3.75,,3.759,F,,,14.9,20.5,7,8.4,7.4,13.2,11.2,,,,11.28,6/23/2023,"E,B"
Wi2-M1,Wildflower,M,1.5,1.5,1.5,,1.81,G,,,14,3,,,,,,,,,3,6/22/2023,"E,B"
Wi2-M10,Wildflower,M,1.7,1.4,1.55,,2.14,G,,,13.7,4.5,6,,,,,,,,5.25,6/23/2023,"E,B"
Wi2-M11,Wildflower,M,1.1,1.6,1.35,,2.83,G,,,21.2,4.6,,,,,,,,,4.6,6/23/2023,"E,B"
Wi2-M12,Wildflower,M,3,1.9,2.45,,2.68,G,,,22.5,7,,,,,,,,,7,6/23/2023,"E,B"
Wi2-M2,Wildflower,M,1,0.7,0.85,,1.44,G,,,10.8,2,,,,,,,,,2,6/22/2023,"E,B"
Wi2-M3,Wildflower,M,1,1,1,,2.52,G,,,15.6,5,,,,,,,,,5,6/23/2023,"E,B"
Wi2-M4,Wildflower,M,2.8,2.5,2.65,,2.59,G,,,4.6,4.2,10.2,10.3,,,,,,,8.23,6/23/2023,"E,B"
Wi2-M5,Wildflower,M,2,2,2,,3.23,G,,,10.3,8.2,6,4,,,,,,,6.07,6/22/2023,"E,B"
Wi2-M6,Wildflower,M,2.3,4.5,3.4,,3.85,G,,,9,8,8,8.9,12.8,,,,,,9.43,6/23/2023,"E,B"
Wi2-M7,Wildflower,M,3,3.4,3.2,,2.82,G,2.64,A,13.1,4,8.8,,,,,,,,6.4,6/23/2023,"E,B"
Wi2-M8,Wildflower,M,1.6,0.9,1.25,,2.16,G,,,14.2,4.4,,,,,,,,,4.4,6/23/2023,"E,B"
Wi2-M9,Wildflower,M,2.5,2.2,2.35,,2.61,G,,,14.6,10,,,,,,,,,10,6/23/2023,"E,B"
