Log_ID,Location,Sex,Taxa,Count,Collection_Date,Analyzer,Analysis_Date
H1-F3,Huntsville,F,Pseudoscorpions,4,6/16/2023,B,6/26/2023
H1-F5,Huntsville,F,Entomobryidae,1,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Isotomidae,2,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Mesostigmata,8,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Oribatida,135,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Prostigmata,28,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Lycosidae,1,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Staphylinidae,1,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Formicidae,99,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Lepidoptera_larval,2,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Thysanoptera,1,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Hemiptera,3,6/16/2023,H,6/26/2023
H1-F5,Huntsville,F,Isopoda,9,6/16/2023,H,6/26/2023
H1-F8,Huntsville,F,Mesostigmata,1,6/16/2023,B,6/26/2023
H1-F8,Huntsville,F,Oribatida,36,6/16/2023,B,6/26/2023
H1-F8,Huntsville,F,Prostigmata,17,6/16/2023,B,6/26/2023
H1-F8,Huntsville,F,Gnaphosidae,1,6/16/2023,B,6/26/2023
H1-F8,Huntsville,F,Formicidae,10,6/16/2023,B,6/26/2023
H1-F8,Huntsville,F,Hemiptera,3,6/16/2023,B,6/26/2023
H1-F8,Huntsville,F,Chilopoda,1,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Entomobryidae,1,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Mesostigmata,2,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Oribatida,11,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Prostigmata,9,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Lycosidae,1,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Coleoptera_larval,2,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Formicidae,33,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Lepidoptera_larval,1,6/16/2023,B,6/27/2023
H1-M10,Huntsville,M,Thysanoptera,3,6/16/2023,B,6/26/2023
H1-M10,Huntsville,M,Hemiptera,3,6/16/2023,B,6/26/2023
H1-M10,Huntsville,M,Chilopoda,1,6/16/2023,B,6/26/2023
H1-M10,Huntsville,M,Isopoda,2,6/16/2023,B,6/26/2023
H1-M10,Huntsville,M,Blattodea,1,6/23/2023,B,6/27/2023
H1-M11,Huntsville,M,Entomobryidae,1,6/23/2023,B,6/27/2023
H1-M11,Huntsville,M,Hypogastruridae,1,6/23/2023,B,6/27/2023
H1-M11,Huntsville,M,Isotomidae,2,6/23/2023,B,6/27/2023
H1-M11,Huntsville,M,Mesostigmata,5,6/16/2023,B,6/27/2023
H1-M11,Huntsville,M,Oribatida,19,6/16/2023,B,6/27/2023
H1-M11,Huntsville,M,Prostigmata,27,6/16/2023,B,6/27/2023
H1-M11,Huntsville,M,Gnaphosidae,1,6/16/2023,B,6/27/2023
H1-M11,Huntsville,M,Formicidae,4,6/16/2023,B,6/27/2023
H1-M11,Huntsville,M,Hemiptera,1,6/23/2023,B,6/28/2023
H1-M11,Huntsville,M,Isopoda,2,6/23/2023,B,6/28/2023
H1-M12,Huntsville,M,Entomobryidae,6,6/23/2023,B,6/28/2023
H1-M12,Huntsville,M,Mesostigmata,4,6/23/2023,B,6/28/2023
H1-M12,Huntsville,M,Oribatida,6,6/23/2023,B,6/28/2023
H1-M12,Huntsville,M,Prostigmata,28,6/23/2023,B,6/28/2023
H1-M12,Huntsville,M,Gnaphosidae,2,6/23/2023,B,6/28/2023
H1-M12,Huntsville,M,Coleoptera_larval,4,6/23/2023,B,6/27/2023
H1-M12,Huntsville,M,Formicidae,67,6/23/2023,B,6/27/2023
H1-M12,Huntsville,M,Thysanoptera,2,6/23/2023,B,6/27/2023
H1-M12,Huntsville,M,Hemiptera,2,6/23/2023,B,6/27/2023
H1-M12,Huntsville,M,Isopoda,5,6/23/2023,B,6/27/2023
H1-M12,Huntsville,M,Pseudoscorpions,1,6/23/2023,B,6/27/2023
H1-M3,Huntsville,M,Entomobryidae,1,6/23/2023,A,7/5/2023
H1-M3,Huntsville,M,Mesostigmata,2,6/23/2023,A,7/5/2023
H1-M3,Huntsville,M,Oribatida,5,6/23/2023,A,7/5/2023
H1-M3,Huntsville,M,Prostigmata,6,6/23/2023,A,7/5/2023
H1-M3,Huntsville,M,Curculionidae,1,6/23/2023,A,7/5/2023
H1-M3,Huntsville,M,Formicidae,1,6/23/2023,A,7/5/2023
H1-M3,Huntsville,M,Isopoda,3,6/23/2023,A,7/5/2023
H1-M3,Huntsville,M,Myriapoda,2,6/23/2023,A,7/5/2023
H1-M4,Huntsville,M,Entomobryidae,1,6/23/2023,B,7/5/2023
H1-M4,Huntsville,M,Isotomidae,1,6/23/2023,B,7/5/2023
H1-M4,Huntsville,M,Prostigmata,7,6/23/2023,B,7/5/2023
H1-M4,Huntsville,M,Oribatida,4,6/23/2023,B,7/5/2023
H1-M4,Huntsville,M,Formicidae,1,6/23/2023,B,7/5/2023
H1-M4,Huntsville,M,Isopoda,3,6/23/2023,B,6/28/2023
H1-M4,Huntsville,M,Lycosidae,1,6/23/2023,B,6/28/2023
H1-M4,Huntsville,M,Neelidae,1,6/23/2023,B,6/28/2023
H1-M5,Huntsville,M,Entomobryidae,8,6/23/2023,B,6/28/2023
H1-M5,Huntsville,M,Oribatida,25,6/23/2023,B,6/28/2023
H1-M5,Huntsville,M,Prostigmata,18,6/23/2023,B,6/29/2023
H1-M5,Huntsville,M,Lycosidae,1,6/23/2023,B,6/29/2023
H1-M5,Huntsville,M,Gnaphosidae,1,6/23/2023,B,6/29/2023
H1-M5,Huntsville,M,Formicidae,3,6/23/2023,B,6/29/2023
H1-M5,Huntsville,M,Thysanoptera,1,6/23/2023,B,6/29/2023
H1-M5,Huntsville,M,Isopoda,3,6/23/2023,B,6/29/2023
H1-M6,Huntsville,M,Mesostigmata,1,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Oribatida,37,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Prostigmata,14,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Gnaphosidae,1,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Formicidae,5,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Hymenoptera_other,1,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Thysanoptera,1,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Hemiptera,5,6/23/2023,A,6/29/2023
H1-M6,Huntsville,M,Pseudoscorpions,2,6/23/2023,A,6/29/2023
H1-M7,Huntsville,M,Entomobryidae,2,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Mesostigmata,5,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Oribatida,45,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Prostigmata,19,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Coleoptera_larval,2,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Formicidae,83,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Hemiptera,3,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Isopoda,2,6/23/2023,B,6/29/2023
H1-M7,Huntsville,M,Arthropod_other,3,6/23/2023,B,6/29/2023
H1-M9,Huntsville,M,Entomobryidae,3,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Mesostigmata,3,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Oribatida,51,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Prostigmata,19,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Gnaphosidae,1,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Formicidae,56,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Hemiptera,1,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Isopoda,5,6/23/2023,A,6/29/2023
H1-M9,Huntsville,M,Isotomidae,1,6/23/2023,B,6/29/2023
H2-F1,Huntsville,F,Mesostigmata,1,6/23/2023,H,6/29/2023
H2-F1,Huntsville,F,Isopoda,1,6/23/2023,H,6/30/2023
H2-F2,Huntsville,F,Oribatida,3,6/23/2023,A,6/30/2023
H2-F2,Huntsville,F,Formicidae,1,6/23/2023,A,6/30/2023
H2-F2,Huntsville,F,Diplopoda,1,6/23/2023,A,6/30/2023
H2-F2,Huntsville,F,Isoptera,3,6/23/2023,A,6/30/2023
H2-F3,Huntsville,F,Oribatida,1,6/23/2023,I,6/30/2023
H2-F3,Huntsville,F,Formicidae,3,6/23/2023,I,6/30/2023
H2-F3,Huntsville,F,Hemiptera,1,6/23/2023,I,6/30/2023
H2-F3,Huntsville,F,Isopoda,1,6/23/2023,I,6/30/2023
H2-F3,Huntsville,F,Arthropod_other,1,6/23/2023,I,6/30/2023
H2-M1,Huntsville,M,Entomobryidae,1,6/23/2023,A,6/30/2023
H2-M1,Huntsville,M,Oribatida,2,6/23/2023,A,7/5/2023
H2-M1,Huntsville,M,Formicidae,1,6/23/2023,A,7/5/2023
H2-M1,Huntsville,M,Lepidoptera_larval,1,6/23/2023,A,7/5/2023
H2-M2,Huntsville,M,Oribatida,10,6/23/2023,B,7/5/2023
H2-M2,Huntsville,M,Prostigmata,3,6/23/2023,B,7/5/2023
H2-M2,Huntsville,M,Formicidae,3,6/23/2023,B,7/5/2023
H2-M2,Huntsville,M,Arthropod_other,1,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Entomobryidae,1,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Mesostigmata,1,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Oribatida,8,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Prostigmata,3,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Lycosidae,3,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Coleoptera_larval,1,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Formicidae,1,6/23/2023,B,7/5/2023
H2-M3,Huntsville,M,Isopoda,1,6/23/2023,B,7/5/2023
H2-M4,Huntsville,M,Oribatida,5,6/23/2023,I,7/5/2023
H2-M4,Huntsville,M,Prostigmata,5,6/23/2023,I,7/5/2023
H2-M4,Huntsville,M,Formicidae,2,6/23/2023,I,7/5/2023
H2-M4,Huntsville,M,Chilopoda,1,6/23/2023,I,7/5/2023
H2-M4,Huntsville,M,Diplopoda,1,6/23/2023,I,7/5/2023
H2-M5,Huntsville,M,Oribatida,2,6/23/2023,I,7/5/2023
H2-M5,Huntsville,M,Prostigmata,1,6/23/2023,I,7/5/2023
H2-M5,Huntsville,M,Formicidae,1,6/23/2023,I,7/5/2023
H2-M6,Huntsville,M,Mesostigmata,1,6/23/2023,B,7/5/2023
H2-M6,Huntsville,M,Oribatida,3,6/23/2023,B,7/5/2023
H2-M6,Huntsville,M,Prostigmata,4,6/23/2023,B,7/5/2023
H2-M6,Huntsville,M,Thysanoptera,1,6/23/2023,B,7/5/2023
H2-M6,Huntsville,M,Isopoda,2,6/23/2023,B,7/5/2023
H2-M7,Huntsville,M,Entomobryidae,1,6/23/2023,I,7/5/2023
H2-M7,Huntsville,M,Hypogastruridae,1,6/23/2023,I,7/5/2023
H2-M7,Huntsville,M,Mesostigmata,1,6/23/2023,I,7/5/2023
H2-M7,Huntsville,M,Oribatida,2,6/23/2023,I,7/5/2023
H2-M7,Huntsville,M,Prostigmata,2,6/23/2023,I,7/5/2023
H2-M7,Huntsville,M,Araneae_other,1,6/23/2023,I,7/5/2023
H2-M7,Huntsville,M,Formicidae,1,6/23/2023,I,7/6/2023
H2-M7,Huntsville,M,Isopoda,2,6/23/2023,I,7/6/2023
H2-M8,Huntsville,M,Entomobryidae,6,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Hypogastruridae,1,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Onychiuridae,1,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Mesostigmata,2,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Oribatida,40,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Prostigmata,12,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Linyphiidae,1,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Cryptophagidae,1,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Formicidae,9,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Thysanoptera,1,6/23/2023,A,7/6/2023
H2-M8,Huntsville,M,Isopoda,6,6/23/2023,A,7/7/2023
H2-M8,Huntsville,M,Pseudoscorpions,1,6/23/2023,A,7/7/2023
H3-F1,Huntsville,F,Entomobryidae,5,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Mesostigmata,2,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Oribatida,17,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Prostigmata,11,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Lycosidae,1,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Formicidae,25,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Chilopoda,1,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Isopoda,2,6/23/2023,B,7/7/2023
H3-F1,Huntsville,F,Arthropod_other,1,6/23/2023,B,7/7/2023
H3-F10,Huntsville,F,Entomobryidae,1,6/23/2023,I,7/7/2023
H3-F10,Huntsville,F,Prostigmata,1,6/23/2023,I,7/7/2023
H3-F10,Huntsville,F,Linyphiidae,1,6/23/2023,I,7/10/2023
H3-F10,Huntsville,F,Formicidae,2,6/23/2023,I,7/10/2023
H3-F10,Huntsville,F,Hemiptera,1,6/23/2023,I,7/10/2023
H3-F10,Huntsville,F,Isopoda,1,6/23/2023,I,7/10/2023
H3-F2,Huntsville,F,Hypogastruridae,1,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Mesostigmata,3,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Oribatida,3,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Prostigmata,5,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Staphylinidae,1,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Formicidae,4,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Chilopoda,1,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Isopoda,3,6/23/2023,A,7/10/2023
H3-F2,Huntsville,F,Arthropod_other,1,6/23/2023,A,7/10/2023
H3-F2d,Huntsville,F,Hypogastruridae,1,6/23/2023,B,7/10/2023
H3-F2d,Huntsville,F,Oribatida,2,6/23/2023,B,7/10/2023
H3-F2d,Huntsville,F,Formicidae,1,6/23/2023,B,7/10/2023
H3-F3,Huntsville,F,Hypogastruridae,1,6/23/2023,"A,I",7/10/2023
H3-F3,Huntsville,F,Oribatida,5,6/23/2023,"A,I",7/10/2023
H3-F3,Huntsville,F,Prostigmata,6,6/23/2023,"A,I",7/10/2023
H3-F3,Huntsville,F,Cryptophagidae,1,6/23/2023,"A,I",7/10/2023
H3-F3,Huntsville,F,Coleoptera_larval,1,6/23/2023,"A,I",7/10/2023
H3-F4,Huntsville,F,Entomobryidae,1,6/23/2023,I,7/10/2023
H3-F4,Huntsville,F,Oribatida,10,6/23/2023,I,7/10/2023
H3-F4,Huntsville,F,Prostigmata,1,6/23/2023,I,7/10/2023
H3-F4,Huntsville,F,Gnaphosidae,1,6/23/2023,I,7/10/2023
H3-F4,Huntsville,F,Hemiptera,2,6/23/2023,I,7/10/2023
H3-F4,Huntsville,F,Diplopoda,1,6/23/2023,I,7/10/2023
H3-F4,Huntsville,F,Isopoda,3,6/23/2023,I,7/10/2023
H3-F5,Huntsville,F,Hypogastruridae,1,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Mesostigmata,1,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Oribatida,11,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Prostigmata,5,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Gnaphosidae,1,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Formicidae,12,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Thysanoptera,5,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Diplopoda,4,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Isopoda,4,6/23/2023,I,7/13/2023
H3-F5,Huntsville,F,Pseudoscorpions,1,6/23/2023,I,7/13/2023
H3-F6,Huntsville,F,Sminthuridae,1,6/23/2023,B,7/13/2023
H3-F6,Huntsville,F,Mesostigmata,2,6/23/2023,B,7/13/2023
H3-F6,Huntsville,F,Oribatida,7,6/23/2023,B,7/13/2023
H3-F6,Huntsville,F,Prostigmata,1,6/23/2023,B,7/13/2023
H3-F6,Huntsville,F,Coleoptera_larval,1,6/23/2023,B,7/13/2023
H3-F6,Huntsville,F,Formicidae,5,6/23/2023,B,7/13/2023
H3-F6,Huntsville,F,Isopoda,1,6/23/2023,B,7/12/2023
H3-F7,Huntsville,F,Entomobryidae,2,6/23/2023,H,7/12/2023
H3-F7,Huntsville,F,Isotomidae,1,6/23/2023,H,7/12/2023
H3-F7,Huntsville,F,Oribatida,3,6/23/2023,H,7/12/2023
H3-F7,Huntsville,F,Prostigmata,2,6/23/2023,H,7/12/2023
H3-F7,Huntsville,F,Thysanoptera,1,6/23/2023,H,7/14/2023
H3-F7,Huntsville,F,Isopoda,1,6/23/2023,H,7/14/2023
H3-F8,Huntsville,F,Entomobryidae,3,6/23/2023,I,7/14/2023
H3-F8,Huntsville,F,Oribatida,9,6/23/2023,I,7/14/2023
H3-F8,Huntsville,F,Prostigmata,2,6/23/2023,I,7/14/2023
H3-F8,Huntsville,F,Coleoptera_larval,1,6/23/2023,I,7/14/2023
H3-F8,Huntsville,F,Formicidae,1,6/23/2023,I,7/14/2023
H3-F8,Huntsville,F,Chilopoda,1,6/23/2023,I,7/14/2023
H3-F8,Huntsville,F,Isopoda,2,6/23/2023,I,7/14/2023
H3-F8,Huntsville,F,Arthropod_other,1,6/23/2023,I,7/14/2023
H3-F9,Huntsville,F,Entomobryidae,2,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Mesostigmata,1,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Oribatida,4,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Prostigmata,4,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Gnaphosidae,1,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Staphylinidae,1,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Formicidae,1,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Hemiptera,1,6/23/2023,A,7/14/2023
H3-F9,Huntsville,F,Isopoda,10,6/23/2023,A,7/14/2023
TC1-F1,Turkey_Creek,F,Mesostigmata,4,6/23/2023,"B,J",7/14/2023
TC1-F1,Turkey_Creek,F,Oribatida,2,6/23/2023,"B,J",7/17/2023
TC1-M1,Turkey_Creek,M,Isotomidae,1,6/23/2023,"B,J",7/17/2023
TC1-M1,Turkey_Creek,M,Mesostigmata,6,6/23/2023,"B,J",7/17/2023
TC1-M1,Turkey_Creek,M,Oribatida,1,6/23/2023,"B,J",7/17/2023
TC1-M1,Turkey_Creek,M,Coleoptera_larval,1,6/23/2023,"B,J",7/17/2023
TC1-M1,Turkey_Creek,M,Lepidoptera_larval,1,6/23/2023,"B,J",7/17/2023
TC1-M1,Turkey_Creek,M,Arthropod_other,1,6/23/2023,"B,J",7/17/2023
TC1-M2,Turkey_Creek,M,,0,6/23/2023,A,7/17/2023
TC1-M3,Turkey_Creek,M,Oribatida,2,6/23/2023,"B,J",7/17/2023
TC1-M3,Turkey_Creek,M,Coleoptera_other,1,6/23/2023,"B,J",7/17/2023
TC1-M4,Turkey_Creek,M,Mesostigmata,4,6/23/2023,"B,J",7/17/2023
TC1-M4,Turkey_Creek,M,Oribatida,5,6/23/2023,"B,J",7/17/2023
TC1-M4,Turkey_Creek,M,Formicidae,2,6/23/2023,"B,J",7/17/2023
TC1-M5,Turkey_Creek,M,Mesostigmata,2,6/23/2023,A,7/17/2023
TC1-M5,Turkey_Creek,M,Oribatida,2,6/23/2023,A,7/17/2023
TC1-M5,Turkey_Creek,M,Acari_other,2,6/23/2023,A,7/17/2023
TC1-M5,Turkey_Creek,M,Formicidae,2,6/23/2023,A,7/17/2023
TC1-M6,Turkey_Creek,M,Hypogastruridae,1,6/23/2023,"B,J",7/17/2023
TC1-M6,Turkey_Creek,M,Mesostigmata,1,6/23/2023,"B,J",7/17/2023
TC1-M8,Turkey_Creek,M,Oribatida,7,6/23/2023,"B,J",7/17/2023
TC1-M8,Turkey_Creek,M,Staphylinidae,1,6/23/2023,"B,J",7/17/2023
TC1-M8,Turkey_Creek,M,Formicidae,1,6/23/2023,"B,J",7/17/2023
TC1-M9,Turkey_Creek,M,Mesostigmata,1,6/23/2023,"B,J",7/17/2023
TC1-M9,Turkey_Creek,M,Oribatida,2,6/23/2023,"B,J",7/17/2023
TC1-M9,Turkey_Creek,M,Arthropod_other,2,6/23/2023,"B,J",7/17/2023
TC2-F1,Turkey_Creek,F,Isotomidae,2,6/23/2023,"B,J",7/17/2023
TC2-F1,Turkey_Creek,F,Onychiuridae,1,6/23/2023,"B,J",7/25/2023
TC2-F1,Turkey_Creek,F,Mesostigmata,17,6/23/2023,"B,J",7/25/2023
TC2-F1,Turkey_Creek,F,Oribatida,8,6/23/2023,"B,J",7/25/2023
TC2-F1,Turkey_Creek,F,Linyphiidae,1,6/23/2023,"B,J",7/25/2023
TC2-F1,Turkey_Creek,F,Formicidae,5,6/23/2023,"B,J",7/25/2023
TC2-F3,Turkey_Creek,F,Isotomidae,1,6/23/2023,"B,J",7/25/2023
TC2-F3,Turkey_Creek,F,Mesostigmata,3,6/23/2023,"B,J",7/25/2023
TC2-F3,Turkey_Creek,F,Oribatida,6,6/23/2023,"B,J",7/25/2023
TC2-F3,Turkey_Creek,F,Coleoptera_larval,1,6/23/2023,"B,J",7/25/2023
TC2-F3,Turkey_Creek,F,Arthropod_other,1,6/23/2023,"B,J",7/25/2023
TC2-F4,Turkey_Creek,F,Mesostigmata,1,6/23/2023,"B,J",7/25/2023
TC2-F4,Turkey_Creek,F,Oribatida,1,6/23/2023,"B,J",7/25/2023
TC2-F4,Turkey_Creek,F,Formicidae,1,6/23/2023,"B,J",7/25/2023
TC2-F4,Turkey_Creek,F,Arthropod_other,1,6/23/2023,"B,J",7/25/2023
TC2-F4,Turkey_Creek,F,Hemiptera,1,6/23/2023,"B,J",7/25/2023
TC2-F5,Turkey_Creek,F,Onychiuridae,1,6/23/2023,"B,J",7/25/2023
TC2-F5,Turkey_Creek,F,Mesostigmata,1,6/23/2023,"B,J",7/25/2023
TC2-F5,Turkey_Creek,F,Oribatida,4,6/23/2023,"B,J",7/25/2023
TC2-F5,Turkey_Creek,F,Staphylinidae,1,6/23/2023,"B,J",7/25/2023
TC2-F5,Turkey_Creek,F,Diplopoda,1,6/23/2023,"B,J",7/25/2023
TC2-F7,Turkey_Creek,F,Hypogastruridae,1,6/23/2023,A,7/25/2023
TC2-F7,Turkey_Creek,F,Oribatida,3,6/23/2023,A,7/25/2023
TC2-F7,Turkey_Creek,F,Formicidae,1,6/23/2023,A,7/25/2023
TC2-F7,Turkey_Creek,F,Diplopoda,1,6/23/2023,A,7/25/2023
TC2-F7,Turkey_Creek,F,Arthropod_other,1,6/23/2023,A,7/25/2023
TC2-M10,Turkey_Creek,M,Mesostigmata,1,6/23/2023,"B,J",7/25/2023
TC2-M10,Turkey_Creek,M,Oribatida,3,6/23/2023,"B,J",7/27/2023
TC2-M10,Turkey_Creek,M,Prostigmata,2,6/23/2023,"B,J",7/27/2023
TC2-M10,Turkey_Creek,M,Formicidae,1,6/23/2023,"B,J",7/27/2023
TC2-M10,Turkey_Creek,M,Arthropod_other,1,6/23/2023,"B,J",7/27/2023
TC2-M9,Turkey_Creek,M,Hypogastruridae,1,6/23/2023,"B,J",7/27/2023
TC2-M9,Turkey_Creek,M,Oribatida,12,6/23/2023,"B,J",7/27/2023
TC2-M9,Turkey_Creek,M,Acari_other,1,6/23/2023,"B,J",7/27/2023
TC2-M9,Turkey_Creek,M,Arthropod_other,1,6/23/2023,"B,J",7/27/2023
Wi1-F1,Wildflower,F,Oribatida,2,6/23/2023,A,7/27/2023
Wi1-F1,Wildflower,F,Prostigmata,1,6/23/2023,A,7/27/2023
Wi1-F1,Wildflower,F,Araneae_other,1,6/23/2023,A,7/27/2023
Wi1-F1,Wildflower,F,Arthropod_other,1,6/23/2023,A,7/27/2023
Wi1-F10,Wildflower,F,Entomobryidae,68,6/23/2023,J,7/27/2023
Wi1-F10,Wildflower,F,Hypogastruridae,3,6/23/2023,J,7/27/2023
Wi1-F10,Wildflower,F,Isotomidae,2,6/23/2023,J,8/3/2023
Wi1-F10,Wildflower,F,Mesostigmata,12,6/23/2023,J,8/3/2023
Wi1-F10,Wildflower,F,Oribatida,134,6/23/2023,J,8/3/2023
Wi1-F10,Wildflower,F,Prostigmata,54,6/23/2023,J,8/3/2023
Wi1-F10,Wildflower,F,Linyphiidae,1,6/23/2023,J,8/3/2023
Wi1-F10,Wildflower,F,Araneae_other,1,6/23/2023,J,8/3/2023
Wi1-F10,Wildflower,F,Staphylinidae,1,6/23/2023,J,8/3/2023
Wi1-F10,Wildflower,F,Formicidae,4,6/23/2023,J,8/3/2023
